Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dhaka,2012,4,0,0,0,0,0,0,62,9,18,9,0,0,40,0,0,11,0,0,52,0,8,29,0,0,0,31,0,0,0,0,
Dhaka,2013,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,1,0,0,0,0,13,0,0,
Dhaka,2014,4,0,0,0,54,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,
Dhaka,1953,5,0,0,4,0,29,0,0,1,4,0,0,18,5,56,11,0,6,26,26,45,23,19,0,0,0,0,0,1,0,0,0
Dhaka,1954,5,45,1,18,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,9,34,3,13,20,2,29,0,1,0,0,1,6
Dhaka,1961,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1961,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1962,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,
Dhaka,1962,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1955,5,54,38,22,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,6,32,14,17,0,0,***,1,1,1,1,8
Dhaka,1956,5,0,0,0,0,0,2,8,0,0,5,6,0,0,0,10,3,1,0,3,2,1,0,0,0,0,0,0,0,2,0,26
Dhaka,1957,5,0,2,12,2,3,0,0,0,0,9,6,0,1,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,52,0
Dhaka,1958,5,0,0,0,18,0,54,16,31,0,1,23,17,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,6,0,0
Dhaka,1959,5,0,0,0,0,15,24,52,0,15,0,12,0,1,0,0,0,0,0,0,0,0,2,0,2,56,9,33,6,12,15,0
Dhaka,1960,5,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,50,120,14,141,6,0,0,2,3,16,0,0
Dhaka,1961,5,3,0,0,0,0,0,0,0,31,6,8,13,0,0,2,0,0,0,0,0,0,0,36,0,0,11,0,0,0,11,98
Dhaka,1962,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1962,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dhaka,1963,3,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dhaka,1962,5,0,0,11,0,31,0,0,3,1,11,1,3,0,0,0,0,26,5,0,0,0,0,0,0,0,0,13,10,25,0,65
Dhaka,1963,5,0,47,29,0,17,0,3,0,0,0,0,5,0,0,1,0,4,40,7,13,1,3,0,0,0,0,0,0,25,2,22
Dhaka,1964,5,11,31,0,32,5,0,0,25,20,0,1,15,2,0,2,0,0,4,53,2,0,16,16,0,1,0,0,0,0,0,0
Dhaka,1965,5,0,0,0,6,0,32,23,0,9,0,4,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Dhaka,1966,5,0,0,0,0,0,38,0,17,15,8,4,3,0,0,0,0,0,0,0,0,0,1,19,0,5,4,0,1,0,12,0
Dhaka,1967,5,0,62,0,7,0,33,0,2,0,0,27,0,0,9,0,2,0,0,0,8,0,0,3,0,35,0,28,0,0,0,0
Dhaka,1968,5,0,0,0,41,0,0,0,0,0,0,0,0,19,4,7,8,7,2,14,6,11,30,25,1,14,0,0,0,4,0,1
Dhaka,1963,11,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dhaka,1963,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1964,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
Dhaka,1964,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,12,,
